fold,spec,model,RMSE,MAE,R2,MASE,n_train,n_test
1,A3_WDI_6WGI,Bayes_Complete,14.783903307213093,11.682303460251376,0.31787353067569235,3.0586773827890865,346,74
2,A3_WDI_6WGI,Bayes_Complete,11.899958319916145,10.014472198322997,0.4479128461846965,2.744702443166197,409,74
3,A3_WDI_6WGI,Bayes_Complete,10.209786224669495,8.355377091829382,0.095530530321287,2.559187442185393,472,74
4,A3_WDI_6WGI,Bayes_Complete,9.76806438380478,8.094054387340613,0.30727243790712433,2.6507480285220253,535,74
5,A3_WDI_6WGI,Bayes_Complete,10.319889081983403,8.599548094481902,0.1530217048788195,2.8921295111879166,598,74
1,A4_WDI_PCA_inter,RandomForest,4.182623570784094,3.17804694565756,0.9454010568223227,0.8320807918745462,346,74
2,A4_WDI_PCA_inter,RandomForest,3.083016938471424,2.166054040735399,0.9629431428801379,0.5936582278027622,409,74
3,A4_WDI_PCA_inter,RandomForest,5.000933904015056,3.786744649559919,0.7829984462161301,1.1598506264179467,472,74
4,A4_WDI_PCA_inter,RandomForest,2.936501350184195,2.3748095588162776,0.9373954568985012,0.7777340569879473,535,74
5,A4_WDI_PCA_inter,RandomForest,4.756000004732602,2.9722747805178193,0.820110458512068,0.9996110857977671,598,74
1,A4_WDI_PCA_inter,XGBoost,3.4548452729820234,2.2852044675842773,0.9627484901853561,0.5983154986369617,346,74
2,A4_WDI_PCA_inter,XGBoost,2.3392400433340046,1.5802451667749444,0.9786662922861464,0.4331034810576518,409,74
3,A4_WDI_PCA_inter,XGBoost,3.2026214385698983,2.228762338883469,0.9110037254191795,0.6826526830086476,472,74
4,A4_WDI_PCA_inter,XGBoost,2.8438745007087887,2.115294369795359,0.9412826705495098,0.6927445890712706,535,74
5,A4_WDI_PCA_inter,XGBoost,3.813812896082852,2.2277224977387355,0.8843246058527643,0.7492093663132909,598,74
1,A4_WDI_PCA_inter,SARIMAX,2.638925451337466,1.9016641260960818,0.9782659371350617,0.49789641845395954,346,74
2,A4_WDI_PCA_inter,SARIMAX,2.2127066932336192,1.483666416847685,0.9809118226897374,0.4066337954233279,409,74
3,A4_WDI_PCA_inter,SARIMAX,2.4664030462261572,1.7509108560579774,0.9472176514224413,0.5362904661228847,472,74
4,A4_WDI_PCA_inter,SARIMAX,1.8626272334460199,1.2989915015129267,0.9748117881377928,0.42541092472614195,535,74
5,A4_WDI_PCA_inter,SARIMAX,3.4379316373959625,1.9248696122100386,0.9060024151192736,0.6473563668111432,598,74
1,A4_WDI_PCA_inter,LSTM,2.742411116300985,2.0952278877877872,0.9765279081084679,0.5485755590899156,346,74
2,A4_WDI_PCA_inter,LSTM,1.7908108783341918,1.3589850255264546,0.9874969430568658,0.3724619177047949,409,74
3,A4_WDI_PCA_inter,LSTM,2.1288741059367067,1.5776576430435207,0.9606757386861635,0.4832243456842929,472,74
4,A4_WDI_PCA_inter,LSTM,2.000026044824055,1.521471314528887,0.9709586538704562,0.4982715576693028,535,74
5,A4_WDI_PCA_inter,LSTM,2.766175245309871,1.6425055638100297,0.9391470547032351,0.5523940050330667,598,74
1,A4_WDI_PCA_inter,Bayes_Partial,11.960251903482506,9.241023573202728,0.5535556522496512,2.419497994838748,346,74
